RT @arnshourie8: photos of meetings between modi's ministers &amp;their visitors r posted everyday is bcoz modi wants to sendout a message=lobb…,0.0,0.0
Dip in gold price attributed to Modi - The Asian Age http://t.co/YLRJMYRE5H,0.166666666667,0.0
"RT @DDNewsLive: RSS supremo Mohan Bhagwat, PM Modi, Senior BJP leader LK Advani, VP Ansari condole death of #GopinathMunde http://t.co/S6Jb…",0.0,0.05
"RT @glolibri1: @iCulTweet @CasaLettori #culturaè  Tutti i libri,i film e le canzoni che mi arricchiscono e che mi fanno scoprire mondi e mo…",0.0416666666667,0.0
"#@Modi Saheb.Delay in removal of retrospective taxation,instituting of advisory bodies,extension of CS tenure,they r nt gud signs",0.0,0.0
"""タワレコ行ったらさ、modiにnana's green tea が先月openしたの見つけて、",0.0,0.0
今日の世間の抹茶ブームを実感したわ。,0.0,0.0
だって隣りの隣りのツインズにも入ってたよ確か。,0.0,0.0
"2軒もできたのすごい嬉しいから、今度ママンを引っ張って行こ！""",0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/RR5tOIfrQy",0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/Lm4mHRG4Oa",0.0,0.0
"RBI eases inflation tone, loosens credit in gesture to Modi http://t.co/8Tzt9MUKrm by @Suvadc and @rafaelnam",0.0,0.0
"Under Abe and Modi, Japan and India Look to Use Each Other for Growth http://t.co/c5BXhs42Yo #india",0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order ... http://t.co/KBYBMb7a3v #india #news",0.047619047619,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/DrDEhbLHP4",0.0,0.0
ETBlogs: Can a modified #Congress survive the Modi era?  http://t.co/SUPxq81b80 via @Economic Times,0.0714285714286,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/hDer5vS5Vd",0.0,0.0
RT @ANI_news: PM Narendra Modi pays respects to late Gopinath Munde http://t.co/sKKodQCQ9l,0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/CHRHcvvO1O",0.0,0.0
"""""""OMG No protest!!! No black flags :0",0.0,0.285714285714
,1.0,0.0
" @thenewsminute: Jayalalithaa meets PM Narendra Modi""""""",0.142857142857,0.0
5 modi per usare al meglio Facebook per la tua azienda http://t.co/JKf1eOXmHu via @gabbariele,0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/PsQ3sY6eGl",0.0,0.0
RT @timesnow: Tamil Nadu Chief Minister Jayalalithaa meets Prime Minister Narendra Modi in the capital,0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/oEReDW7kX5",0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/hm3R89FUyK",0.0,0.0
http://t.co/NFpsrOH9ym... http://t.co/cKBpmdmGlJ,0.0,0.0
"""RT @vinod_sharma: Your anger against the Gandhis has already hit the mark via the EVM button. ",0.0588235294118,0.117647058824
,1.0,0.0
"Whatever remains to be done will be in time…""",0.111111111111,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/xLF4whb6E7",0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/hKRbMoTTVV",0.0,0.0
"RT @scroll_in: [Replug] While building more toilets won't end sexual violence, more than 814 million people will be thankful for it. http:/…",0.0909090909091,0.0
RT @EconomicTimes: PM Modi: All bureaucrats to be formally asked to work on Saturdays (ET Now),0.0,0.0
"44 IAS, 30 IPS Officers Sent to Telangana Cadre: Prime Minster Narendra Modi has signed an order to post 44 In... http://t.co/6qCPwBVT93",0.0,0.0
